"TF","Score"
"MA0139.1",198
"MA0130.1",165
"MA1929.1",134
"MA0149.1",117
"MA0081.2",112
"MA1930.1",112
"MA0846.1",109
"MA1723.1",108
"MA0598.3",105
"MA0079.5",105
"MA0847.3",99
"MA1952.1",97
"MA0640.2",96
"MA0032.2",95
"MA0062.3",91
"MA1102.2",89
"MA0761.2",89
"MA0473.3",88
"MA0528.2",86
"MA1487.2",86
"MA0076.2",85
"MA1596.1",85
"MA1652.1",85
"MA1630.2",85
"MA0845.1",84
"MA1721.1",84
"MA1653.1",83
"MA0759.2",83
"MA0599.1",79
"MA0028.2",79
"MA1942.1",79
"MA0593.1",77
"MA1483.2",77
"MA0645.1",76
"MA1708.1",76
"MA0763.1",75
"MA1508.1",75
"MA1710.1",75
"MA1935.1",75
"MA0750.2",74
"MA0156.3",72
"MA0641.1",71
"MA0760.1",71
"MA0471.2",71
"MA0098.3",70
"MA0685.2",70
"MA1513.1",69
"MA1954.1",69
"MA1961.1",68
"MA0597.2",68
"MA0746.2",67
"MA0047.3",67
"MA0764.3",67
"MA0765.3",67
"MA0523.1",66
"MA0475.2",65
"MA1950.1",65
"MA0041.2",65
"MA1125.1",64
"MA1651.1",64
"MA1953.1",64
"MA1515.1",63
"MA1648.1",63
"MA0148.4",63
"MA1970.1",63
"MA0517.1",62
"MA1421.1",62
"MA1965.1",62
"MA1517.1",61
"MA1484.1",60
"MA1522.1",60
"MA1564.1",60
"MA1104.2",60
"MA0522.3",60
"MA0741.1",59
"MA1981.1",59
"MA0036.3",58
"MA0039.4",58
"MA0508.3",58
"MA0762.1",57
"MA1716.1",57
"MA0482.2",57
"MA1512.1",56
"MA0836.2",56
"MA0481.3",56
"MA0748.2",56
"MA0144.2",55
"MA0102.4",55
"MA0769.2",55
"MA1931.1",55
"MA1636.1",54
"MA1683.1",54
"MA1418.1",52
"MA0613.1",50
"MA0033.2",50
"MA0747.1",50
"MA0088.2",50
"MA0830.2",50
"MA1959.1",50
"MA0493.2",50
"MA0516.3",50
"MA0740.2",50
"MA0742.2",50
"MA1511.2",50
"MA0687.1",49
"MA0103.3",49
"MA1631.1",49
"MA1103.2",49
"MA1107.2",49
"MA0025.2",49
"MA1956.1",49
"MA1957.1",49
"MA0031.1",48
"MA1713.1",48
"MA1726.1",48
"MA1976.1",48
"MA0442.2",47
"MA1565.1",47
"MA1932.1",47
"MA1946.1",47
"MA0030.1",46
"MA0488.1",46
"MA1955.1",46
"MA0504.1",45
"MA1709.1",45
"MA1972.1",45
"MA0788.1",44
"MA1122.1",44
"MA1558.1",44
"MA1650.1",44
"MA0901.2",44
"MA1936.1",44
"MA1938.1",44
"MA0867.2",43
"MA1715.1",43
"MA0852.2",42
"MA0162.4",42
"MA0035.4",42
"MA0052.4",42
"MA1112.2",42
"MA0681.2",42
"MA0051.1",41
"MA0046.2",41
"MA1581.1",41
"MA0833.2",41
"MA0492.1",40
"MA0787.1",40
"MA1131.1",40
"MA1152.1",40
"MA1632.1",40
"MA0018.4",40
"MA0043.3",40
"MA0527.1",39
"MA1711.1",39
"MA1730.1",39
"MA0627.2",39
"MA1945.1",39
"MA1949.1",39
"MA1978.1",39
"MA0153.2",38
"MA0757.1",38
"MA0772.1",38
"MA1116.1",38
"MA1148.1",38
"MA1579.1",38
"MA1587.1",38
"MA0679.2",38
"MA1944.1",38
"MA1947.1",38
"MA1980.1",38
"MA1987.1",38
"MA0137.3",37
"MA0790.1",37
"MA1599.1",37
"MA1712.1",37
"MA1729.1",37
"MA0484.2",37
"MA0084.1",36
"MA1114.1",36
"MA1473.1",36
"MA0766.2",36
"MA1646.1",36
"MA0114.4",36
"MA1933.1",36
"MA0073.1",35
"MA0786.1",35
"MA0789.1",35
"MA1127.1",35
"MA1654.1",35
"MA0143.4",35
"MA1966.1",35
"MA0468.1",34
"MA0838.1",34
"MA1494.1",34
"MA1589.1",34
"MA1725.1",34
"MA1982.1",34
"MA0115.1",33
"MA0497.1",33
"MA0498.2",33
"MA1111.1",33
"MA1516.1",33
"MA1523.1",33
"MA1656.1",33
"MA0465.2",33
"MA0495.3",33
"MA1941.1",33
"MA1601.2",33
