"ENTREZID","SYMBOL"
"100996442","WASH9P"
"118424","UBE2J2"
"55052","MRPL20"
"643965","TMEM278"
"83858","ATAD3B"
"142678","MIB2"
"9906","SLC35E2A"
"2782","GNB1"
"339456","TMEM52"
"6497","SKI"
"124903824","LOC124903824"
"27237","ARHGEF16"
"7161","TP73"
"83715","ESPN"
"55735","DNAJC11"
"11315","PARK7"
"23095","KIF1B"
"23435","TARDBP"
"10459","MAD2L2"
"26829","RNU5E-1"
"26099","SZRD1"
"55672","NBPF1"
"54896","SLC66A1"
"55629","PNRC2"
"163702","IFNLR1"
"124903883","LOC124903883"
"10726","NUDC"
"93974","ATP5IF1"
"6429","SRSF4"
"64129","TINAGL1"
"10657","KHDRBS1"
"64766","S100PBP"
"127544","RNF19B"
"6421","SFPQ"
"192669","AGO3"
"54936","ADPRS"
"27095","TRAPPC3"
"105378662","LOC105378662"
"22887","FOXJ3"
"126661","CCDC163"
"25974","MMACHC"
"51060","TXNDC12"
"55706","NDC1"
"5586","PKN2"
"24","ABCA4"
"25950","RWDD3"
"51592","TRIM33"
"4853","NOTCH2"
"101954267","RNVU1-15"
"101954266","RNVU1-14"
"148738","HJV"
"100996756","LOC100996756"
"8337","H2AC18"
"723790","H2AC19"
"554313","H4C15"
"5710","PSMD4"
"81609","SNX27"
"51686","OAZ3"
"23381","SMG5"
"127814295","LOC127814295"
"55765","INAVA"
"148808","SLC60A1"
"4751","NEK2"
"90806","ANGEL2"
"128308","MRPL55"
"100169756","RNA5S5"
"100169760","RNA5S9"
"100169761","RNA5S10"
"100169762","RNA5S11"
"100169766","RNA5S15"
"100506810","LINC01132"
"105373215","LOC105373215"
"25909","AHCTF1"
"9397","NMT2"
"107984218","LOC107984218"
"11067","DEPP1"
"124902426","LOC124902426"
"124902434","LOC124902434"
"54541","DDIT4"
"8509","NDST2"
"7417","VDAC2"
"23063","WAPL"
"10580","SORBS1"
"26123","TCTN3"
"10023","FRAT1"
"81621","KAZALD1"
"23082","PPRC1"
"5662","PSD"
"118987","PDZD8"
"118672","PSTK"
"9184","BUB3"
"399821","EDRF1-DT"
"80313","LRRC27"
"170393","LINC02870"
"81490","PTDSS2"
"619552","MIR483"
"10078","TSSC4"
"8495","PPFIBP2"
"440028","LINC02709"
"729013","ZBED5-AS1"
"55742","PARVA"
"6207","RPS13"
"25841","ABTB2"
"56981","PRDM11"
"91252","SLC39A13"
"4722","NDUFS3"
"23220","DTX4"
"1642","DDB1"
"100507521","LINC02733"
"64852","TUT1"
"100534595","HNRNPUL2-BSCL2"
"10482","NXF1"
"283130","SLC25A45"
"10897","YIF1A"
"221","ALDH3B1"
"374407","DNAJB13"
"387787","LIPT2"
"408","ARRB1"
"100532726","NDUFC2-KCTD14"
