seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
chr1	199841	199996	156	*	PMF_vs_PMC_peak_1	37	.	3.02323	8.1324	3.71292	79	Promoter (<=1kb)	1	182146	199872	17727	2	100996442	ENST00000831131.1	0
chr1	1273766	1273887	122	*	PMF_vs_PMC_peak_2	33	.	4.28194	7.66459	3.35179	98	Promoter (<=1kb)	1	1253909	1273853	19945	2	118424	ENST00000450390.6	0
chr1	1407239	1407460	222	*	PMF_vs_PMC_peak_3	52	.	4.73593	10.2238	5.27398	94	Promoter (<=1kb)	1	1401909	1407293	5385	2	55052	ENST00000344843.12	0
chr1	1425924	1426109	186	*	PMF_vs_PMC_peak_4	33	.	4.28194	7.66459	3.35179	145	Promoter (<=1kb)	1	1425871	1430255	4385	1	643965	ENST00000378821.4	53
chr1	1471627	1471767	141	*	PMF_vs_PMC_peak_5	35	.	5.54999	7.9464	3.58398	106	Promoter (<=1kb)	1	1471765	1497848	26084	1	83858	ENST00000673477.1	0
chr1	1615668	1615825	158	*	PMF_vs_PMC_peak_6	40	.	5.11916	8.55102	4.029	37	Promoter (<=1kb)	1	1615879	1630604	14726	1	142678	ENST00000487053.5	-54
chr1	1746338	1746476	139	*	PMF_vs_PMC_peak_7	70	.	4.98777	12.5053	7.05361	95	Promoter (<=1kb)	1	1732242	1745992	13751	2	9906	ENST00000246421.4	-346
chr1	1891026	1891152	127	*	PMF_vs_PMC_peak_8	56	.	6.66771	10.7452	5.68387	64	Promoter (<=1kb)	1	1785285	1891117	105833	2	2782	ENST00000610897.4	0
chr1	1919121	1919265	145	*	PMF_vs_PMC_peak_9	56	.	6.41907	10.6912	5.64263	73	Promoter (<=1kb)	1	1917845	1919258	1414	2	339456	ENST00000378598.4	0
chr1	2234593	2234762	170	*	PMF_vs_PMC_peak_10	52	.	4.10279	10.202	5.27298	78	Promoter (2-3kb)	1	2232479	2303038	70560	1	6497	ENST00000508416.1	2114
